ICAO,IATA,COUNTRY,STATE,CITY,CITY_COMPLETE,SYNOP,LAT,LAT_NUM,LONG,LONG_NUM,ELEV,STATUS,Registered
MMNG,NOG,Mexico,Sonora,NOGALES,NOGALES,NaN,31 13N,31.2167,110 58W,-110.9667,1222,ONLINE,0
MMNL,NLD,Mexico,Tamaulipas,NUEVO LAREDO,NUEVO LAREDO INT,NaN,27 25N,27.4167,099 34W,-99.5667,148,ONLINE,0
MMOX,OAX,Mexico,Oaxaca,OAXACA,OAXACA/XOXOCOTLA,76775,17 00N,17,096 43W,-96.7167,1528,ONLINE,1
MMPQ,NaN,Mexico,Chiapas,PALENQUE,PALENQUE,NaN,17 32N,17.5333,091 59W,-91.9833,61,ONLINE,0
MMPG,PNG,Mexico,Coahuila,PIEDRAS NEGRAS,PIEDRAS NEGRAS,76243,28 39N,28.65,100 31W,-100.5167,250,ONLINE,0
MMPA,PAZ,Mexico,Veracruz,POCA RICA-TAJIN,POCA RICA-TAJIN,NaN,20 30N,20.5,097 28W,-97.4667,142,ONLINE,0
MMPB,PBC,Mexico,Puebla,PUEBLA,PUEBLA,76685,19 10N,19.1667,098 22W,-98.3667,2244,ONLINE,0
MMPS,PXM,Mexico,Oaxaca,PUERTO ESCONDIDO,PUERTO ESCONDIDO,NaN,15 52N,15.8667,097 04W,-97.0667,88,ONLINE,0
MMPE,NaN,Mexico,Sonora,PUERTO PENASCO,PUERTO PENASCO,NaN,31 21N,31.35,113 31W,-113.5167,9,ONLINE,0
MMPR,PVR,Mexico,Jalisco,PUERTO VALLARTA,PUERTO VALLARTA,NaN,20 40N,20.6667,105 15W,-105.25,6,ONLINE,0
MMQT,QRO,Mexico,Queretaro,QUERETARO,QUERETARO,76625,20 37N,20.6167,100 11W,-100.1833,1813,ONLINE,0
MMRX,REX,Mexico,Tamaulipas,REYNOSA,REYNOSA INTL ARP,NaN,26 01N,26.0167,098 13W,-98.2167,39,ONLINE,0
MMIO,SLW,Mexico,Coahuila,SALTILLO,SALTILLO,76390,25 33N,25.55,100 56W,-100.9333,1790,ONLINE,0
MMSD,SJD,Mexico,South Baja California,SAN JOSE DEL CAB,SAN JOSE DEL CAB,NaN,23 08N,23.1333,109 42W,-109.7,109,ONLINE,0
MMSP,SLP,Mexico,San Luis Potosi,SAN LUIS POTOSI,SAN LUIS POTOSI,76539,22 15N,22.25,100 56W,-100.9333,1903,ONLINE,0
MMTM,TAM,Mexico,Tamaulipas,TAMPICO,TAMPICO/GEN FJ M,76548,22 16N,22.2667,097 52W,-97.8667,24,ONLINE,0
MMTP,TAP,Mexico,Chiapas,TAPACHULA,TAPACHULA,,14 46N,14.7667,092 22W,-92.3667,29,ONLINE,0
